depth (ft),WOB (lbf),RPM,ROP_data ft/hr
1341.8,28404.375,76.4,42.1375
1342.6375,28116,83.2875,45.2375
1342.7001,28433.375,79.5,43.7
1342.7375,28650.625,72.075,41.6
1342.8,28387.375,77.575,41.325
1342.8501,28445.875,89.6125,37.9
1342.9,28132.75,89.8125,39.0375
1342.9125,28369.625,80.1,44.4
1343,28327.125,86.6875,41.875
1343.075,28405.875,84.5875,31.2
1343.1,28332.875,85.1625,31.875
1343.15,28492.25,87.15,36.3625
1343.2001,28255.375,87.3375,35.5625
1343.2375,28286,92.7375,34.9
1343.3,28368.375,92.875,37.1625
1343.3501,28444,91.775,44.45
1343.4,28436,88.725,42.7625
1343.475,28470,86.2375,34.0875
1343.5,28273.375,86.275,36.15
1343.575,28474.25,86.575,40.2375
1343.6,28475,87.425,40.2
1343.7001,28374.75,90.675,40.05
1343.7251,28361.375,86.875,43.6375
1343.8,28414.875,87.675,43.45
1343.875,28379.875,84.3875,39.075
1343.9,28509.5,76.825,41.1375
1344,28335.375,80.85,38.375
1344.0875,28420.625,70.0375,35.375
1344.1,28448.375,69,35.25
1344.1125,28396.625,80.25,32.175
1344.2001,28347,77.1625,31.05
1344.25,28270.375,74.5375,24.1
1344.3,28538.375,72.5125,24.575
1344.4,28455.125,72.8375,17.7125
1344.4125,28593.375,74.5375,17.3875
1344.55,28396.625,85.4625,16.95
1344.6,28505.125,82.2625,18.025
1344.6375,28268.375,89.7875,23.2625
1344.7001,28354.125,89.9875,25.025
1344.8,28263,81.0125,25.925
1344.8625,28424,81.1625,33.6375
1344.9,28253,80.1,34.075
1345,28362.5,84.1,32.7375
1345.1,28309.125,80.6875,29.0625
1345.1125,28343.75,77.6375,30.825
1345.2001,28490.5,80.975,30.25
1345.3,28385.375,81.6375,26.85
1345.4,28336,81.15,27.925
1345.4375,28279.125,83.8125,29.3875
1345.5,28543,86.375,29.2625
1345.5375,28407.625,85.4875,23.3875
1345.6,28240,82.05,23.1375
1345.6875,28205.125,85.3,28
1345.7001,28289,83.35,28.3125
1345.8,28360.25,83.3625,26.5
1345.8876,28530.75,80.8625,28.1
1345.9,28336.125,82.725,28.65
1345.9125,28723.875,76.4125,24.05
1346,28435.75,77.5875,24.05
1346.1,28293,75.125,30.125
1346.1875,28380,74.2625,32.325
1346.2001,28239.25,71.9,32.875
1346.2125,28311.125,72.825,35.575
1346.3,28346.875,71.3125,35.9125
1346.4,28379.875,70.9625,32.125
1346.45,28197.875,66.3625,37.975
1346.5,28097.625,64.9875,40.5125
1346.5875,28117.5,65.55,35.7
1346.6,28294.75,62.5,35.1
1346.7001,28320.875,65.1,34.475
1346.7251,28247.5,68.0375,33.425
1346.8,28268.125,67.1625,32.7375
1346.9,28217.875,70.3375,34.475
1346.975,28238.875,74.4,32.9375
1347,28644.5,76.3875,32.9125
1347.025,28286.625,79.5,30.15
1347.1,28336.5,76.025,30.75
1347.2001,28317.375,77.925,33.275
1347.275,28202.375,78.4,35.4375
1347.3,28451.375,75.6,35.075
1347.3876,28366.125,79.1375,28.0875
1347.4,28371.875,76.4125,28.575
1347.4375,28603.875,84.675,29.7375
1347.5,28536,85.8125,29.875
1347.6,27845.375,87.2,22.425
1347.625,27807.125,85.2,31.05
1347.7001,27608.625,84.7375,29.95
1347.7125,27732.875,83.9125,26.975
1347.8,28349,84.7875,27.025
1347.8625,28002.75,84.25,30.7125
1347.9,27676,86.4375,30.175
1347.9875,27482,86.725,27.05
1348,27746.75,85.3,27.1
1348.05,27980.25,78,39.725
1348.1,27501.375,80.3,39.4
1348.1125,28023.75,82.225,29.275
1348.2001,27485.125,83.8,29.8
1348.2626,27621.125,82.5875,28.875
1348.3,27794.75,82.9875,28.1
1348.3625,27782.625,87.0625,27.225
1348.4,27793.625,87.75,27.675
1348.45,27824.625,85.9625,24.5125
1348.5,27854.125,86.225,24.8125
1348.575,27809.625,86.35,32.475
1348.6,28056.25,84.1,33.0875
1348.6626,27890.25,86.45,26.05
1348.7001,27346.5,84.6875,27.325
1348.7626,27598.875,87.9375,25.25
1348.8,28131.875,85.3125,28.025
1348.8125,27790,79.7875,39.7875
1348.9,27805.375,80.075,37.05
1349,28101.25,78.0875,39.3
1349.0375,27449.875,87.6125,35.7625
1349.1,28078.25,85.95,36.375
1349.2001,27858,85.9625,37.125
1349.2876,27583,92.85,34.8
1349.3,27949.625,85.075,37.2875
1349.3625,27308.625,84.4125,42.2375
1349.4,28194,88.9375,41.2375
1349.4375,27489.5,85.3875,42.175
1349.5,28043.25,87.0125,42.6375
1349.5875,27631.875,90.375,40.9
1349.6,27693.875,91.825,43.1875
1349.6375,27598.125,76.975,45.2125
1349.75,27843.5,87.3375,37.325
1349.8,27770.75,87.65,39.325
1349.8125,27862.375,84.6125,46.7625
1349.9,27631.375,84.2,46.15
1350,27763,90.775,40.375
1350.0125,28005.75,89.925,31.675
1350.1,27938.125,91.9875,32.625
1350.175,27929.5,89.55,45.2875
1350.2626,27690.125,93.45,38.7875
1350.3,27813.5,83.9625,38.25
1350.3375,27575,87.7875,42.5875
1350.575,27748.25,81.7,42.25
1350.6,28129.625,89,42.8875
1350.6626,27538.875,80.25,40.3125
1350.7001,27852,82.225,38.55
1350.7375,27907.625,82.55,40.1125
1350.8,27596.375,81.625,41
1350.8501,28004.75,83.2625,38.6875
1350.9,27585.625,80.2,39.25
1350.9125,27649,82.075,44.95
1351,27687.625,79.9375,44.45
1351.05,27386.125,92.6,39.2875
1351.1,27684.25,94.675,40.2875
1351.125,27673.5,81.3875,42.85
1351.2001,27743.25,81.3125,44.325
1351.2375,27800.5,86.8875,29.2875
1351.3,27834.375,88.225,28.95
1351.375,28152,86.425,29.4125
1351.4,27661.875,87,29.975
1351.5,27672.125,86.6,24.75
1351.55,27833.875,87.2875,31.1125
1351.6,27521.75,86.6,30.3625
1351.65,27852.625,84.825,27.8625
1351.7001,27797.75,85.2,28.9125
1351.7125,27625.75,82.4375,32.7
1351.8,27837.75,83.2875,31.55
1351.8251,27990.75,84.4125,30.6875
1351.9,27895.875,85.4375,30.4125
1351.9625,27672.375,84.1125,38.4875
1352,27874.5,83.2625,39.15
1352.125,27839.75,85.6,32.35
1352.2001,27831.125,88.3,32.2375
1352.2375,27641.5,84.85,31.05
1352.3,27943.875,83.475,30.9375
1352.375,27979.125,84.9625,30
1352.4,27821,85.175,29.1
1352.4625,27671.375,87.625,25.0625
1352.5,27836.875,85.9625,24.8875
1352.5375,27787.375,84.35,28.35
1352.6,27589,83.425,27.0125
1352.6875,28163,88.25,23.725
1352.7375,27796,83.125,35.175
1352.8,27752.25,84.725,35.1875
1352.8375,27999.625,86.6,28.3625
1352.9,27711.125,86.075,27.0375
1352.9625,28053.125,85.9625,30.1
1353,28116.375,86.225,29.6125
1353.0375,27871.875,88.6125,29.2125
1353.1,28005.375,87,29.2875
1353.125,27732.25,90.0125,25.05
1353.2001,27952.75,89.225,26.3375
1353.25,28021.25,86.725,28.0875
1353.3,27649,86.55,27.5125
1353.3375,28056.25,86.725,23.35
1353.4,27877.125,86.25,24.4125
1353.4125,27696.125,87.225,30.2375
1353.5,27709.5,85.025,30.775
1353.525,28242.125,86.4,33.8625
1353.6,28070.375,86.1,33.6125
1353.6875,28156.5,87.95,23.5875
1353.7001,28129,86.55,24.0375
1353.8,28309.75,88.8875,27.225
1353.8876,28330.5,83.925,26.2875
1353.9,28037.125,85.475,27.6
1353.9875,28114.625,86.875,29.9625
1354,28146.5,86.55,29.8625
1354.025,25203.75,91.5125,17.7625
1354.1,26315.375,91.3375,17.75
1354.1875,26161.125,96.1,16.0625
1354.2001,25968.875,97.5375,15.8375
1354.275,25594.375,98.875,25.75
1354.3,26120.375,97.675,28.6625
1354.375,26051,95.0375,24.2125
1354.4,26452.5,94.7625,23.05
1354.45,26105.75,96.9,20.0125
1354.5,25372.75,93.95,21.1625
1354.6,25736.125,91.3375,18.275
1354.7001,25375.25,94.125,22.5125
1354.775,25498.875,94.2875,19.0875
1354.8501,26128.125,97.3625,22.5125
1354.9,25999.25,94.75,22.9625
1361.1,19770.875,96.425,13.7625
1361.15,20386.375,97.5,33.45
1366.55,21232.5,94.25,8.25
1366.7626,26681.125,94.7375,22.7875
1369.125,26422,96.4625,26.625
1369.2125,25549.375,94.1625,21.1
1369.3,25967.625,96.1125,21.6
1369.4,26058.625,94.4375,26.45
1369.4125,25848.75,96.7375,24.7
1369.5,25966.75,94.9,25.95
1369.525,25957.125,94.8875,26.075
1369.6,25636.5,95.65,27.9625
1369.625,25242.125,95.25,26.1375
1369.7001,26041.5,94.8875,29.1625
1369.7251,25769.5,91.0375,27.175
1369.8876,25832.875,93.175,28.4
1369.9,25595.5,92.45,28.4375
1370.2626,25256.375,96.3875,40.1375
1370.3,25384.625,92.7875,42.1125
1370.3625,24981.5,93.35,48.05
1370.4,25346,93.5125,46.675
1370.4125,20353.875,103.375,6.8125
1370.425,25103.625,95.0375,43.85
1370.4375,20041.25,121.8875,15.375
1370.5,26909,97.05,43.575
1370.5125,26775.75,96.4125,39.9
1370.6,26940.625,96.6,39.575
1370.7001,27391.375,95.2125,34.9125
1370.7626,26767.25,94.6125,35.6625
1370.8,26812.375,96.9125,35.9375
1370.8125,26870.875,87.9375,38.9375
1370.9,27172,95.5125,38.725
1370.975,27221.25,96.4625,30.175
1371,27105.25,95.05,28.875
1371.1,26827.125,95.6875,38.7875
1371.1626,27242.625,96.7125,35.25
1371.2001,27282.375,99.575,34.625
1371.2626,27190.25,95.4875,29.175
1371.3,26898.625,97.5,28.525
1371.3501,27064.75,98.1125,23.625
1371.4,26752.375,96.2625,24.45
1371.4375,27050,96.1375,25.9625
1371.5,26433.625,96.75,24.3
1371.575,26909.625,95.9625,26.8
1371.675,27243.75,96.7375,29.6375
1371.7001,27150.875,96.6,29.9125
1371.8,26763,98.4125,27.1375
1371.875,27620.375,96.9,36.0375
1371.9,27694,97.95,35.25
1371.975,27492.375,97.2,29.175
1372.0125,28877.25,92.25,31.8125
1372.1,28868.5,90.725,31.0875
1372.125,28825.875,97.0125,27.8
1372.2001,28913.75,96.9375,27.85
1372.2375,28918.75,91.2,25.65
1372.3,28483.625,92.75,26.175
1372.3251,28806.125,93.4375,30.5625
1372.4,28640.25,94.8125,30.9875
1372.4625,28759.875,93.8,32.95
1372.5,29017.75,92.55,31.7875
1372.525,29025.25,92.425,33.6625
1372.6,28947,90.875,36.3
1372.6125,30903.625,84.8375,46.5625
1372.7001,30963.5,90.4375,45.8375
1372.7876,30919.75,90.425,42.8125
1372.8,30946,85.3125,44.1625
1372.8125,31173.75,72.9875,46.8125
1372.9,30880.125,73.3,47.2875
1373,31284.75,73.875,48.3
1373.0125,31237.125,74.675,43.475
1373.1,31179,76.0625,42.8
1373.15,31129.625,69.1375,37.6
1373.2001,31240.25,75.6,37.5
1373.2375,31587.375,73.475,38.2625
1373.3,31052.5,67.575,38.55
1373.3375,31678.25,74.375,39.1375
1373.4,31816.75,74.075,39.725
1373.5875,22395.375,95.8125,20.7125
1373.6,23409.25,95.2125,21.15
1373.6125,25712.75,91.675,32.1
1373.7001,32118.375,91.6125,38.5375
1373.8375,32738.875,73.3,34.1625
1373.9,33031,79.9375,33.95
1373.9625,32980.25,83.625,33.275
1374,32702.375,79.6,32.75
1374.025,32895.125,76.8125,29.55
1374.1,32276.375,76.5125,30.1875
1374.1875,34508.875,87.175,34.9875
1374.2001,35315.875,85.025,37.0375
1374.3251,24175.75,92.2625,34.9125
1374.4,23503.25,96.1125,35.775
1374.4625,25957,91.0125,23.025
1374.5,25753.875,92.1125,22.8375
1374.55,25746.75,91.25,21.2
1374.6,27192.5,90.2625,21.0625
1374.65,28015,90.2625,26.8125
1374.7001,28034.75,91.65,25.9
1374.7626,28914,87.7875,25.1875
1374.8,29132.5,93.05,25.0375
1374.8375,29561,82.4,24.375
1374.9,29516.5,85.95,25.4375
1374.9625,31667,80.9875,31.05
1375,31504.25,82.275,31.2
1375.0625,32230,81.625,24.45
1375.1,31445.25,88.725,23.8875
1375.2001,32388.875,91.175,24.675
1375.3,32932.25,81.025,23.1875
1375.3375,32791,81.9375,29.375
1375.475,33517.625,84.1125,28.8
1375.5125,34266.75,79.7875,27.65
1375.6,34184,76.7,27.7
1375.7001,34853.625,81.175,27.125
1375.8,34693.125,74.225,14.7
1375.8375,33341.375,77.725,25.8375
1375.9,33027.25,80.1,25.3375
1375.925,31763.375,88.7375,24.5375
1376,32158.25,88.5875,23.5875
1376.05,30325.625,85.625,23.5875
1376.1,30408.25,92.1,24.65
1376.175,30317.25,84.3625,25.525
1376.2001,30310.75,84.725,26.4
1376.3,29819.875,96.1375,24.4
1376.3375,29999.375,91.1875,26.775
1376.4,29646.25,100.45,27.725
1376.4375,29436.125,91.6625,30.7625
1376.5,29635.25,95.6625,31.05
1376.5125,29643.25,89.6625,35.675
1376.6,29709,83.6,35.4625
1376.6125,29574.75,88.725,35.55
1376.7001,29660.375,91.2875,36.075
1376.8,29467.625,91.3,42.1875
1376.8501,29593.5,91.9875,41.625
1376.9,29640,88.7,42.025
1376.95,29631.375,84.225,37.6875
1377,29389.5,89.6375,37.1
1377.025,29748,88.275,39.5125
1377.1,29626.25,94.7375,42.05
1377.1375,29578.5,96.25,47.375
1377.2001,29694.625,96.8875,45.775
1377.25,29633.875,94.7375,41.8
1377.3,29564.75,92.9625,44.0875
1377.3501,29594.875,73.15,49.25
1377.4,29573.5,71.5875,48.125
1377.4625,29534.75,74.525,48.325
1377.625,29578.875,81.925,33.2
1377.7001,29736.375,77.9,33.9875
1377.7251,29467.625,84.8625,30.325
1377.8,29527.375,81.95,27.9625
1377.8501,29603.375,75.9125,29.3875
1377.9,29661.375,78.9625,30.325
1377.9875,29446.25,79.925,27.825
1378.025,29546.75,79.1625,28.8625
1378.1,29620,77.925,29.3375
1378.2001,29624.25,83.175,39.875
1378.275,29457,75.7625,38.7375
1378.3,29679.875,84.475,37.825
1378.3625,29605.375,79.0125,37
1378.4,29533,74.8375,36
1378.5,29598.5,79,38.0125
1378.525,29526.375,86.85,31.3375
1378.6,29562.625,84.575,31.775
1378.6875,29587.875,91.3375,30.6625
1378.7001,29454.125,87.025,31.1875
1378.7375,29679.375,83.75,26.075
1378.8,29493.625,85.475,25.7875
1378.8876,29484.875,81.3,27.7125
1378.9,29500.625,77.9,28.3625
1379,29429.75,84.85,21.075
1379.025,29538.125,90.325,22.0875
1379.1,29414.5,94.4375,23.75
1379.125,29505,87.5,22.3125
1379.2001,29553.875,94.575,22.4
1379.3,29561,89.8375,19.9125
1379.4,29677.25,90.2125,21.025
1379.425,29608.375,82.8375,18.75
1379.5,29486.75,89.5,18.125
1379.525,29397.625,95.375,17.3
1379.6,29530,90.4125,18.475
1379.625,29333.5,88.4125,23.2125
1379.7001,29370.75,86.2875,23.7625
1379.7375,29662.25,91.9625,18.6125
1379.8,29558.5,88.1,18.4625
1379.875,29569.625,89.1625,25.3125
1379.9,29594.25,86.2625,25.175
1379.95,29497.75,89.7375,20.3375
1380,29583,91.1875,21.0625
1380.0875,29384.75,87.925,22.0875
1380.1,29441.375,87.5,22.125
1380.1875,29600.75,92.575,23.2375
1380.2001,29697.875,94.5875,23.275
1380.25,29455.75,95.675,23.15
1380.3,29550.125,90.875,22.2
1380.3501,29386.5,88.9,24.45
1380.4,29406,91.65,24.25
1380.4125,29791.625,88.7,25.7
1380.5,29816.75,92.4,26.675
1380.5625,29926.875,90.1375,25.5125
1380.6,29745.625,92.7,24.6625
1380.625,29669.75,97.55,21.3
1380.7001,29671.875,101.4125,22.0625
1380.775,29927.125,89.975,20.7
1380.8,29670.25,88.0875,20.9
1380.8625,29819.5,87.4875,20.3125
1380.9,29919.5,84.25,19.6375
1380.95,30081.25,92.875,18.1375
1381,30025.125,88.725,19
1381.025,29810.875,85.775,17.1125
1381.1,29806.75,85.475,16.6875
1381.175,29911.25,94.425,15.05
1381.2001,29683.375,93.3375,16.5625
1381.3,29959.25,84.6875,23.625
1381.375,29854.625,92.5625,21.7375
1381.4,29926.375,91.65,22.45
1381.4625,29993.875,89.0375,20.7375
1381.5,30013.25,93.175,20.8
1381.5625,29857.25,90.9125,22.425
1381.6,30074.375,83.3125,22.6
1381.6626,29986.875,88.275,19.75
1381.7001,30128.625,91.675,19.3375
1381.7125,21074,85.35,26.85
1381.7251,29992.5,94.425,21.6
